Round,Conference,Game,Team1,Team2,Score1,Score2
1,South,1,Auburn,Alabama State,83,63
1,South,2,Louisville,Creighton,75,89
1,South,3,Michigan,UC San Diego,68,65
1,South,4,Texas A&M,Yale,80,71
1,South,5,Mississippi,North Carolina,71,64
1,South,6,Iowa State,Lipscomb,82,55
1,South,7,Marquette,New Mexico,66,75
1,South,8,Michigan State,Bryant,87,62
1,West,9,Florida,Norfolk State,95,69
1,West,10,Connecticut,Oklahoma,67,59
1,West,11,Memphis,Colorado State,70,78
1,West,12,Maryland,Grand Canyon,81,49
1,West,13,Missouri,Drake,57,67
1,West,14,Texas Tech,UNC Wilmington,82,72
1,West,15,Kansas,Arkansas,72,79
1,West,16,St. John's (NY),Omaha,83,53
1,East,17,Duke,Mount Saint Mary (NY),93,49
1,East,18,Mississippi State,Baylor,72,75
1,East,19,Oregon,Liberty,81,52
1,East,20,Arizona,Akron,93,65
1,East,21,Brigham Young,Virginia Commonwealth,80,71
1,East,22,Wisconsin,Montana,85,66
1,East,23,Saint Mary's (CA),Vanderbilt,59,56
1,East,24,Alabama,Robert Morris,90,81
1,Midwest,25,Houston,Southern Illinois-Edwardsville,78,40
1,Midwest,26,Gonzaga,Georgia,89,68
1,Midwest,27,Clemson,McNeese State,67,69
1,Midwest,28,Purdue,High Point,75,63
1,Midwest,29,Illinois,Xavier,86,73
1,Midwest,30,Kentucky,Troy,76,57
1,Midwest,31,UCLA,Utah State,72,47
1,Midwest,32,Tennessee,Wofford,77,62
2,South,1,Auburn,Creighton,82,70
2,South,2,Michigan,Texas A&M,91,79
2,South,3,Mississippi,Iowa State,91,78
2,South,4,New Mexico,Michigan State,63,71
2,West,5,Florida,Connecticut,77,75
2,West,6,Colorado State,Maryland,71,72
2,West,7,Drake,Texas Tech,64,77
2,West,8,Arkansas,St. John's (NY),75,66
2,East,9,Duke,Baylor,89,66
2,East,10,Oregon,Arizona,83,87
2,East,11,Brigham Young,Wisconsin,91,89
2,East,12,Saint Mary's (CA),Alabama,66,80
2,Midwest,13,Houston,Gonzaga,81,76
2,Midwest,14,McNeese State,Purdue,62,76
2,Midwest,15,Illinois,Kentucky,75,84
2,Midwest,16,UCLA,Tennessee,58,67
3,South,1,Auburn,Michigan,78,65
3,South,2,Mississippi,Michigan State,70,73
3,West,3,Florida,Maryland,87,71
3,West,4,Texas Tech,Arkansas,85,83
3,East,5,Duke,Arizona,100,93
3,East,6,Brigham Young,Alabama,88,113
3,Midwest,7,Houston,Purdue,62,60
3,Midwest,8,Kentucky,Tennessee,65,78
4,South,1,Auburn,Michigan State,70,64
4,West,2,Florida,Texas Tech,84,79
4,East,3,Duke,Alabama,85,65
4,Midwest,4,Houston,Tennessee,69,50
5,Final Four,1,Auburn,Florida,73,79
5,Final Four,2,Duke,Houston,67,70
6,Championship,1,Florida,Houston,65,63
7,Champion,1,Florida,,,
