Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Norfolk State,1.1573859217061244,0.6342805415725603
1,2,Oklahoma,Missouri,0.8270483048842215,0.8985107263200827
1,3,Creighton,UC Santa Barbara,0.8751744078831433,0.850323133743507
1,4,Virginia,Ohio,0.9103801230280815,0.7332054117679243
1,5,Southern California,Drake,0.9648987448329116,0.8724069016443106
1,6,Kansas,Eastern Washington,0.9443017847632018,0.7075818515519612
1,7,Oregon,Virginia Commonwealth,0.9395202929468351,0.8781876524972573
1,8,Iowa,Grand Canyon,0.9320363930458808,0.7092967215526448
1,9,Michigan,Texas Southern,1.0485589779987166,0.638473278484967
1,10,Louisiana State,St. Bonaventure,0.8970550314905715,0.896894971585704
1,11,Colorado,Georgetown,0.9175099273109552,0.7577444419908205
1,12,Florida State,UNC Greensboro,0.9026473510952858,0.8025211684160733
1,13,Brigham Young,UCLA,0.9755891901019124,0.8610378588437688
1,14,Texas,Abilene Christian,0.9746140424030306,0.7541944546404223
1,15,Connecticut,Maryland,0.8541075508044254,0.8028459609023433
1,16,Alabama,Iona,1.0343857832299923,0.6398654702254933
1,17,Baylor,Hartford,1.0737302399613324,0.5727059364739499
1,18,North Carolina,Wisconsin,0.8488495616664443,0.8155512302774732
1,19,Villanova,Winthrop,0.9129640877072291,0.8238871668131179
1,20,Purdue,North Texas,0.9023666920560052,0.7669790150672143
1,21,Texas Tech,Utah State,0.8544675330386772,0.8389986168780407
1,22,Arkansas,Colgate,0.9750647109760695,0.8789464588817709
1,23,Florida,Virginia Tech,0.82254841916762,0.8486261227004177
1,24,Ohio State,Oral Roberts,0.9621471219343606,0.6014987146138496
1,25,Illinois,Drexel,1.025388900777679,0.6257014621735323
1,26,Loyola (IL),Georgia Tech,0.9011246372171624,0.8597608734127845
1,27,Tennessee,Oregon State,0.8905507016776616,0.7837127709770862
1,28,Oklahoma State,Liberty,0.9792648267678448,0.742896414926094
1,29,San Diego State,Syracuse,0.9913887129903793,0.8098619973144255
1,30,West Virginia,Morehead State,0.9419814747056887,0.757097589960723
1,31,Clemson,Rutgers,0.9062775636733166,0.8253042977287937
1,32,Houston,Cleveland State,1.0167698911171523,0.7198127740488773
2,1,Gonzaga,Missouri,1.1573859217061244,0.8985107263200827
2,2,Creighton,Virginia,0.8751744078831433,0.9103801230280815
2,3,Southern California,Kansas,0.9648987448329116,0.9443017847632018
2,4,Oregon,Iowa,0.9395202929468351,0.9320363930458808
2,5,Michigan,Louisiana State,1.0485589779987166,0.8970550314905715
2,6,Colorado,Florida State,0.9175099273109552,0.9026473510952858
2,7,Brigham Young,Texas,0.9755891901019124,0.9746140424030306
2,8,Connecticut,Alabama,0.8541075508044254,1.0343857832299923
2,9,Baylor,North Carolina,1.0737302399613324,0.8488495616664443
2,10,Villanova,Purdue,0.9129640877072291,0.9023666920560052
2,11,Texas Tech,Arkansas,0.8544675330386772,0.9750647109760695
2,12,Virginia Tech,Ohio State,0.8486261227004177,0.9621471219343606
2,13,Illinois,Loyola (IL),1.025388900777679,0.9011246372171624
2,14,Tennessee,Oklahoma State,0.8905507016776616,0.9792648267678448
2,15,San Diego State,West Virginia,0.9913887129903793,0.9419814747056887
2,16,Clemson,Houston,0.9062775636733166,1.0167698911171523
3,1,Gonzaga,Virginia,1.1573859217061244,0.9103801230280815
3,2,Southern California,Oregon,0.9648987448329116,0.9395202929468351
3,3,Michigan,Colorado,1.0485589779987166,0.9175099273109552
3,4,Brigham Young,Alabama,0.9755891901019124,1.0343857832299923
3,5,Baylor,Villanova,1.0737302399613324,0.9129640877072291
3,6,Arkansas,Ohio State,0.9750647109760695,0.9621471219343606
3,7,Illinois,Oklahoma State,1.025388900777679,0.9792648267678448
3,8,San Diego State,Houston,0.9913887129903793,1.0167698911171523
4,1,Gonzaga,Southern California,1.1573859217061244,0.9648987448329116
4,2,Michigan,Alabama,1.0485589779987166,1.0343857832299923
4,3,Baylor,Arkansas,1.0737302399613324,0.9750647109760695
4,4,Illinois,Houston,1.025388900777679,1.0167698911171523
5,1,Gonzaga,Michigan,1.1573859217061244,1.0485589779987166
5,2,Baylor,Illinois,1.0737302399613324,1.025388900777679
6,1,Gonzaga,Baylor,1.1573859217061244,1.0737302399613324
7,1,Gonzaga,No Value,1.1573859217061244,No Value
