Round,Game,Team1,Team2,Rating1,Rating2
1,1,Connecticut,Stetson,2319.196576698233,1729.6100492674975
1,2,Florida Atlantic,Northwestern,2045.779525464531,1848.0445131067315
1,3,San Diego State,UAB,2042.7878577872727,2023.5449940867945
1,4,Auburn,Yale,2352.8995334673186,1952.5319744080587
1,5,Brigham Young,Duquesne,1959.4653439436388,2106.5582546475475
1,6,Illinois,Morehead State,2242.4381163129224,2057.692249403912
1,7,Washington State,Drake,1904.4506831164008,2150.6435968045153
1,8,Iowa State,South Dakota State,2378.6151000576997,1935.2974222580447
1,9,North Carolina,Wagner,2143.3814451964286,1630.4556208122076
1,10,Mississippi State,Michigan State,2012.1710809041763,1925.334261447998
1,11,Saint Mary's (CA),Grand Canyon,2198.091805571098,2048.955160268844
1,12,Alabama,College of Charleston,1908.499080892046,2103.4958624300384
1,13,Clemson,New Mexico,1780.1597847897162,2166.408075101058
1,14,Baylor,Colgate,2006.0261435849538,1913.2609703114867
1,15,Dayton,Nevada,1907.5472595486658,2112.2249930082567
1,16,Arizona,Long Beach State,2002.8149493538087,1859.0835728805748
1,17,Houston,Longwood,2226.7024265988402,1869.0874777700099
1,18,Nebraska,Texas A&M,2010.997141148061,2039.3122050505858
1,19,Wisconsin,James Madison,1972.5434878046685,2128.116413503305
1,20,Duke,Vermont,1970.965879229772,2066.0203802932906
1,21,Texas Tech,NC State,2073.3913284958057,2104.008501649985
1,22,Kentucky,Oakland,2149.3455174376354,1898.2837279156847
1,23,Florida,Colorado,2121.5521697050426,1968.0631470407704
1,24,Marquette,Western Kentucky,2021.7436700975047,1875.3637416913175
1,25,Purdue,Grambling,2237.478188091923,1761.3086549345676
1,26,Utah State,TCU,1932.7756139433736,1868.137628356623
1,27,Gonzaga,McNeese State,2122.0043918721817,2113.135978528274
1,28,Kansas,Samford,1804.4076576096697,2020.6310319180538
1,29,South Carolina,Oregon,2003.1145582994027,2020.2131493042325
1,30,Creighton,Akron,2081.001119908808,1730.0064845542652
1,31,Texas,Colorado State,1926.336267181624,1946.4749819533015
1,32,Tennessee,Saint Peter's,2047.853518905983,1722.9963253421033
2,1,Connecticut,Florida Atlantic,2319.196576698233,2045.779525464531
2,2,San Diego State,Auburn,2042.7878577872727,2352.8995334673186
2,3,Duquesne,Illinois,2106.5582546475475,2242.4381163129224
2,4,Drake,Iowa State,2150.6435968045153,2378.6151000576997
2,5,North Carolina,Mississippi State,2143.3814451964286,2012.1710809041763
2,6,Saint Mary's (CA),College of Charleston,2198.091805571098,2103.4958624300384
2,7,New Mexico,Baylor,2166.408075101058,2006.0261435849538
2,8,Nevada,Arizona,2112.2249930082567,2002.8149493538087
2,9,Houston,Texas A&M,2226.7024265988402,2039.3122050505858
2,10,James Madison,Vermont,2128.116413503305,2066.0203802932906
2,11,NC State,Kentucky,2104.008501649985,2149.3455174376354
2,12,Florida,Marquette,2121.5521697050426,2021.7436700975047
2,13,Purdue,Utah State,2237.478188091923,1932.7756139433736
2,14,Gonzaga,Samford,2122.0043918721817,2020.6310319180538
2,15,Oregon,Creighton,2020.2131493042325,2081.001119908808
2,16,Colorado State,Tennessee,1946.4749819533015,2047.853518905983
3,1,Connecticut,Auburn,2319.196576698233,2352.8995334673186
3,2,Illinois,Iowa State,2242.4381163129224,2378.6151000576997
3,3,North Carolina,Saint Mary's (CA),2143.3814451964286,2198.091805571098
3,4,New Mexico,Nevada,2166.408075101058,2112.2249930082567
3,5,Houston,James Madison,2226.7024265988402,2128.116413503305
3,6,Kentucky,Florida,2149.3455174376354,2121.5521697050426
3,7,Purdue,Gonzaga,2237.478188091923,2122.0043918721817
3,8,Creighton,Tennessee,2081.001119908808,2047.853518905983
4,1,Auburn,Iowa State,2352.8995334673186,2378.6151000576997
4,2,Saint Mary's (CA),New Mexico,2198.091805571098,2166.408075101058
4,3,Houston,Kentucky,2226.7024265988402,2149.3455174376354
4,4,Purdue,Creighton,2237.478188091923,2081.001119908808
5,1,Iowa State,Saint Mary's (CA),2378.6151000576997,2198.091805571098
5,2,Houston,Purdue,2226.7024265988402,2237.478188091923
6,1,Iowa State,Purdue,2378.6151000576997,2237.478188091923
7,1,Iowa State,No Value,2378.6151000576997,No Value
