Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Norfolk State,4.988296628337556,3.4282996546430877
1,2,Oklahoma,Missouri,3.7023576122806032,3.79357813013093
1,3,Creighton,UC Santa Barbara,3.9987059097003983,4.165025902941726
1,4,Virginia,Ohio,4.116938452393309,3.919613428373255
1,5,Southern California,Drake,4.197748414054434,4.026203751837673
1,6,Kansas,Eastern Washington,4.249955105191121,3.834597870628139
1,7,Oregon,Virginia Commonwealth,4.177015960303676,4.012999088725344
1,8,Iowa,Grand Canyon,4.316209688459381,3.8306206947202415
1,9,Michigan,Texas Southern,4.478655231093049,3.562884927909492
1,10,Louisiana State,St. Bonaventure,4.145048671734795,4.200349974440274
1,11,Colorado,Georgetown,4.256879572426954,3.8889432098789545
1,12,Florida State,UNC Greensboro,3.983658521200667,3.998119575560965
1,13,Brigham Young,UCLA,4.308130168807768,3.77487469455092
1,14,Texas,Abilene Christian,4.23106468029812,4.00188387645989
1,15,Connecticut,Maryland,4.019372031756548,3.808814258621522
1,16,Alabama,Iona,4.54515297122437,3.52114693665528
1,17,Baylor,Hartford,4.59187218457064,2.4335724118638016
1,18,North Carolina,Wisconsin,3.9971846372678783,3.7273399587270557
1,19,Villanova,Winthrop,4.001703160420074,4.1275702324559935
1,20,Purdue,North Texas,4.037203596407244,3.9244352130717624
1,21,Texas Tech,Utah State,3.8820756784355694,4.133321806790764
1,22,Arkansas,Colgate,4.364638622753242,4.187637223795585
1,23,Florida,Virginia Tech,3.7261626019513305,3.7794577183696374
1,24,Ohio State,Oral Roberts,4.252740076247962,3.4456467292226143
1,25,Illinois,Drexel,4.699218152954006,3.4787588659274378
1,26,Loyola (IL),Georgia Tech,4.396427177592961,4.121986759538795
1,27,Tennessee,Oregon State,3.985572511538867,3.9400725964394354
1,28,Oklahoma State,Liberty,4.271824972735508,4.01750491988211
1,29,San Diego State,Syracuse,4.59229433121944,3.883044681474756
1,30,West Virginia,Morehead State,4.016705658618238,4.025906236628644
1,31,Clemson,Rutgers,3.8672041897985006,3.695561394351461
1,32,Houston,Cleveland State,4.611526929755988,3.6226009504238283
2,1,Gonzaga,Missouri,4.988296628337556,3.79357813013093
2,2,UC Santa Barbara,Virginia,4.165025902941726,4.116938452393309
2,3,Southern California,Kansas,4.197748414054434,4.249955105191121
2,4,Oregon,Iowa,4.177015960303676,4.316209688459381
2,5,Michigan,St. Bonaventure,4.478655231093049,4.200349974440274
2,6,Colorado,UNC Greensboro,4.256879572426954,3.998119575560965
2,7,Brigham Young,Texas,4.308130168807768,4.23106468029812
2,8,Connecticut,Alabama,4.019372031756548,4.54515297122437
2,9,Baylor,North Carolina,4.59187218457064,3.9971846372678783
2,10,Winthrop,Purdue,4.1275702324559935,4.037203596407244
2,11,Utah State,Arkansas,4.133321806790764,4.364638622753242
2,12,Virginia Tech,Ohio State,3.7794577183696374,4.252740076247962
2,13,Illinois,Loyola (IL),4.699218152954006,4.396427177592961
2,14,Tennessee,Oklahoma State,3.985572511538867,4.271824972735508
2,15,San Diego State,Morehead State,4.59229433121944,4.025906236628644
2,16,Clemson,Houston,3.8672041897985006,4.611526929755988
3,1,Gonzaga,UC Santa Barbara,4.988296628337556,4.165025902941726
3,2,Kansas,Iowa,4.249955105191121,4.316209688459381
3,3,Michigan,Colorado,4.478655231093049,4.256879572426954
3,4,Brigham Young,Alabama,4.308130168807768,4.54515297122437
3,5,Baylor,Winthrop,4.59187218457064,4.1275702324559935
3,6,Arkansas,Ohio State,4.364638622753242,4.252740076247962
3,7,Illinois,Oklahoma State,4.699218152954006,4.271824972735508
3,8,San Diego State,Houston,4.59229433121944,4.611526929755988
4,1,Gonzaga,Iowa,4.988296628337556,4.316209688459381
4,2,Michigan,Alabama,4.478655231093049,4.54515297122437
4,3,Baylor,Arkansas,4.59187218457064,4.364638622753242
4,4,Illinois,Houston,4.699218152954006,4.611526929755988
5,1,Gonzaga,Alabama,4.988296628337556,4.54515297122437
5,2,Baylor,Illinois,4.59187218457064,4.699218152954006
6,1,Gonzaga,Illinois,4.988296628337556,4.699218152954006
7,1,Gonzaga,No Value,4.988296628337556,No Value
