Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Florida,Prairie View A&M,1,16,2232.3467081752,1763.5785913556
Round of 64,1,2,Clemson,Iowa,8,9,1995.578354082,1869.9042138941
Round of 64,1,3,Vanderbilt,McNeese,5,12,2163.7171507597,2125.0440780335
Round of 64,1,4,Nebraska,Troy,4,13,1893.1506855745,1933.7061869678
Round of 64,1,5,North Carolina,Virginia Commonwealth,6,11,2061.2028842127,2232.8293538034
Round of 64,1,6,Illinois,Pennsylvania,3,14,2091.1342105161,1984.5381307077
Round of 64,1,7,Saint Mary's,Texas A&M,7,10,2190.8492342959,1868.7773914116
Round of 64,1,8,Houston,Idaho,2,15,2207.8188250287,1874.1092086362
Round of 64,1,9,Arizona,Long Island University,1,16,2442.9024699248,1811.2541525357
Round of 64,1,10,Villanova,Utah State,8,9,1844.9990676635,2117.9675051676
Round of 64,1,11,Wisconsin,High Point,5,12,2110.1854745579,2110.0893128679
Round of 64,1,12,Arkansas,Hawaii,4,13,2294.8419179986,1903.6168456257
Round of 64,1,13,Brigham Young,Texas,6,11,1941.2319012186,1719.9370739858
Round of 64,1,14,Gonzaga,Kennesaw State,3,14,2224.8473315371,1870.3418096697
Round of 64,1,15,Miami (FL),Missouri,7,10,2082.300120093,1762.6210614803
Round of 64,1,16,Purdue,Queens (NC),2,15,2295.3180616838,1876.9837445226
Round of 64,1,17,Duke,Siena,1,16,2535.7324647343,1903.169112822
Round of 64,1,18,Ohio State,TCU,8,9,2079.7035150177,-999
Round of 64,1,19,St. John's (NY),Northern Iowa,5,12,2327.6279758847,2050.2753819212
Round of 64,1,20,Kansas,California Baptist,4,13,1982.9731229469,1981.9798843428
Round of 64,1,21,Louisville,South Florida,6,11,2016.5225054817,2262.7975441003
Round of 64,1,22,Michigan State,North Dakota State,3,14,2092.9346518802,1961.3464325846
Round of 64,1,23,UCLA,UCF,7,10,2048.1365819787,1745.1959838485
Round of 64,1,24,Connecticut,Furman,2,15,2108.7551901949,1826.9427473513
Round of 64,1,25,Michigan,Howard,1,16,2340.1573237762,1830.9467719791
Round of 64,1,26,Georgia,Saint Louis,8,9,1968.5998549249,1885.7518626591
Round of 64,1,27,Texas Tech,Akron,5,12,1939.1705737045,2134.5399527202
Round of 64,1,28,Alabama,Hofstra,4,13,2010.6599244514,2081.6051564676
Round of 64,1,29,Tennessee,Miami (OH),6,11,1944.9952468019,2066.1121516622
Round of 64,1,30,Virginia,Wright State,3,14,2302.9473123751,1934.5461263147
Round of 64,1,31,Kentucky,Santa Clara,7,10,1946.572681293,2055.8083044052
Round of 64,1,32,Iowa State,Tennessee State,2,15,2186.5780551883,2064.709833674
Round of 32,2,1,Florida,Clemson,1,8,2232.3467081752,1995.578354082
Round of 32,2,2,Vanderbilt,Troy,5,13,2163.7171507597,1933.7061869678
Round of 32,2,3,Virginia Commonwealth,Illinois,11,3,2232.8293538034,2091.1342105161
Round of 32,2,4,Saint Mary's,Houston,7,2,2190.8492342959,2207.8188250287
Round of 32,2,5,Arizona,Utah State,1,9,2442.9024699248,2117.9675051676
Round of 32,2,6,Wisconsin,Arkansas,5,4,2110.1854745579,2294.8419179986
Round of 32,2,7,Brigham Young,Gonzaga,6,3,1941.2319012186,2224.8473315371
Round of 32,2,8,Miami (FL),Purdue,7,2,2082.300120093,2295.3180616838
Round of 32,2,9,Duke,Ohio State,1,8,2535.7324647343,2079.7035150177
Round of 32,2,10,St. John's (NY),Kansas,5,4,2327.6279758847,1982.9731229469
Round of 32,2,11,South Florida,Michigan State,11,3,2262.7975441003,2092.9346518802
Round of 32,2,12,UCLA,Connecticut,7,2,2048.1365819787,2108.7551901949
Round of 32,2,13,Michigan,Georgia,1,8,2340.1573237762,1968.5998549249
Round of 32,2,14,Akron,Hofstra,12,13,2134.5399527202,2081.6051564676
Round of 32,2,15,Miami (OH),Virginia,11,3,2066.1121516622,2302.9473123751
Round of 32,2,16,Santa Clara,Iowa State,10,2,2055.8083044052,2186.5780551883
Sweet 16,3,1,Florida,Vanderbilt,1,5,2232.3467081752,2163.7171507597
Sweet 16,3,2,Virginia Commonwealth,Houston,11,2,2232.8293538034,2207.8188250287
Sweet 16,3,3,Arizona,Arkansas,1,4,2442.9024699248,2294.8419179986
Sweet 16,3,4,Gonzaga,Purdue,3,2,2224.8473315371,2295.3180616838
Sweet 16,3,5,Duke,St. John's (NY),1,5,2535.7324647343,2327.6279758847
Sweet 16,3,6,South Florida,Connecticut,11,2,2262.7975441003,2108.7551901949
Sweet 16,3,7,Michigan,Akron,1,12,2340.1573237762,2134.5399527202
Sweet 16,3,8,Virginia,Iowa State,3,2,2302.9473123751,2186.5780551883
Elite 8,4,1,Florida,Virginia Commonwealth,1,11,2232.3467081752,2232.8293538034
Elite 8,4,2,Arizona,Purdue,1,2,2442.9024699248,2295.3180616838
Elite 8,4,3,Duke,South Florida,1,11,2535.7324647343,2262.7975441003
Elite 8,4,4,Michigan,Virginia,1,3,2340.1573237762,2302.9473123751
Final 4,5,1,Virginia Commonwealth,Arizona,11,1,2232.8293538034,2442.9024699248
Final 4,5,2,Duke,Michigan,1,1,2535.7324647343,2340.1573237762
Championship,6,1,Arizona,Duke,1,1,2442.9024699248,2535.7324647343
Champion,7,1,Duke,---,1,---,2535.7324647343,---
