Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Norfolk State,1769.8833862312363,1589.7738244555474
1,2,Oklahoma,Missouri,1550.7544345557835,1574.4206900616841
1,3,Creighton,UC Santa Barbara,1618.458514567073,1682.9498350327904
1,4,Virginia,Ohio,1632.1708681918738,1619.508308221718
1,5,Southern California,Drake,1646.9869834366782,1673.1232056440347
1,6,Kansas,Eastern Washington,1639.5751187248668,1618.8680217926637
1,7,Oregon,Virginia Commonwealth,1652.62921937537,1628.0449686966406
1,8,Iowa,Grand Canyon,1643.6973485187607,1610.1114322707253
1,9,Michigan,Texas Southern,1673.7263653628336,1605.803463385578
1,10,Louisiana State,St. Bonaventure,1616.6687228404005,1641.8140668413962
1,11,Colorado,Georgetown,1647.618788066462,1570.362320236277
1,12,Florida State,UNC Greensboro,1603.754223421506,1651.1041257922254
1,13,Brigham Young,UCLA,1657.9557809875298,1572.7155023341525
1,14,Texas,Abilene Christian,1641.6302321706648,1671.798673608932
1,15,Connecticut,Maryland,1597.4356741807394,1553.907128570234
1,16,Alabama,Iona,1702.6681500261457,1580.9970391899806
1,17,Baylor,Hartford,1706.4432385933471,1573.728006373192
1,18,North Carolina,Wisconsin,1598.0701557088876,1544.2192236336523
1,19,Villanova,Winthrop,1600.3770518111357,1700.9806004780446
1,20,Purdue,North Texas,1606.6154449716241,1616.2205387959782
1,21,Texas Tech,Utah State,1575.752902050884,1647.752441574691
1,22,Arkansas,Colgate,1671.7957945968717,1651.261733504481
1,23,Florida,Virginia Tech,1557.5634503520082,1584.3069099208235
1,24,Ohio State,Oral Roberts,1634.9271619116257,1570.2630966937134
1,25,Illinois,Drexel,1706.8743174809197,1565.232948955776
1,26,Loyola (IL),Georgia Tech,1710.993411008978,1630.8536277201163
1,27,Tennessee,Oregon State,1589.818580292589,1598.6158535299082
1,28,Oklahoma State,Liberty,1650.1311252752184,1676.8767500986505
1,29,San Diego State,Syracuse,1721.6073435015019,1584.9861354037528
1,30,West Virginia,Morehead State,1597.3501438928956,1687.21211504191
1,31,Clemson,Rutgers,1590.3769605814389,1547.0008955965632
1,32,Houston,Cleveland State,1718.2112827245658,1615.611788263035
2,1,Gonzaga,Missouri,1769.8833862312363,1574.4206900616841
2,2,UC Santa Barbara,Virginia,1682.9498350327904,1632.1708681918738
2,3,Drake,Kansas,1673.1232056440347,1639.5751187248668
2,4,Oregon,Iowa,1652.62921937537,1643.6973485187607
2,5,Michigan,St. Bonaventure,1673.7263653628336,1641.8140668413962
2,6,Colorado,UNC Greensboro,1647.618788066462,1651.1041257922254
2,7,Brigham Young,Abilene Christian,1657.9557809875298,1671.798673608932
2,8,Connecticut,Alabama,1597.4356741807394,1702.6681500261457
2,9,Baylor,North Carolina,1706.4432385933471,1598.0701557088876
2,10,Winthrop,North Texas,1700.9806004780446,1616.2205387959782
2,11,Utah State,Arkansas,1647.752441574691,1671.7957945968717
2,12,Virginia Tech,Ohio State,1584.3069099208235,1634.9271619116257
2,13,Illinois,Loyola (IL),1706.8743174809197,1710.993411008978
2,14,Oregon State,Liberty,1598.6158535299082,1676.8767500986505
2,15,San Diego State,Morehead State,1721.6073435015019,1687.21211504191
2,16,Clemson,Houston,1590.3769605814389,1718.2112827245658
3,1,Gonzaga,UC Santa Barbara,1769.8833862312363,1682.9498350327904
3,2,Drake,Oregon,1673.1232056440347,1652.62921937537
3,3,Michigan,UNC Greensboro,1673.7263653628336,1651.1041257922254
3,4,Abilene Christian,Alabama,1671.798673608932,1702.6681500261457
3,5,Baylor,Winthrop,1706.4432385933471,1700.9806004780446
3,6,Arkansas,Ohio State,1671.7957945968717,1634.9271619116257
3,7,Loyola (IL),Liberty,1710.993411008978,1676.8767500986505
3,8,San Diego State,Houston,1721.6073435015019,1718.2112827245658
4,1,Gonzaga,Drake,1769.8833862312363,1673.1232056440347
4,2,Michigan,Alabama,1673.7263653628336,1702.6681500261457
4,3,Baylor,Arkansas,1706.4432385933471,1671.7957945968717
4,4,Loyola (IL),San Diego State,1710.993411008978,1721.6073435015019
5,1,Gonzaga,Alabama,1769.8833862312363,1702.6681500261457
5,2,Baylor,San Diego State,1706.4432385933471,1721.6073435015019
6,1,Gonzaga,San Diego State,1769.8833862312363,1721.6073435015019
7,1,Gonzaga,No Value,1769.8833862312363,No Value
