Round,Game,Team1,Team2,Rating1,Rating2
1,1,Auburn,Alabama State,2581.924299131577,1756.2449525679297
1,2,Louisville,Creighton,2494.8376765105536,2434.1621008858983
1,3,Michigan,UC San Diego,2549.8613017043526,2448.657457522898
1,4,Texas A&M,Yale,2375.2725577921283,2234.074881533976
1,5,Mississippi,North Carolina,2361.0672179566855,2359.036838758296
1,6,Iowa State,Lipscomb,2457.372421330487,2152.842087160741
1,7,Marquette,New Mexico,2299.995397029038,2412.043486738353
1,8,Michigan State,Bryant,2715.938778431043,2058.0259702070975
1,9,Florida,Norfolk State,2865.137826349515,1858.8013401828653
1,10,Connecticut,Oklahoma,2426.0852933581273,2424.920515853528
1,11,Memphis,Colorado State,2431.4827833000218,2639.4520853747076
1,12,Maryland,Grand Canyon,2669.831371584655,2222.0294380680684
1,13,Missouri,Drake,2330.023936134507,2486.521007760274
1,14,Texas Tech,UNC Wilmington,2464.96894631288,2147.450135751064
1,15,Kansas,Arkansas,2291.128743664575,2347.8766572748646
1,16,St. John's (NY),Omaha,2750.731742130829,2137.7244657665474
1,17,Duke,Mount Saint Mary (NY),2726.7956254906844,1103.0590597986727
1,18,Mississippi State,Baylor,2205.754815775164,2349.8540852466062
1,19,Oregon,Liberty,2501.2433638199163,2302.433116468126
1,20,Arizona,Akron,2499.16059085487,2158.4110379766257
1,21,Brigham Young,Virginia Commonwealth,2577.943148059492,2483.781830532314
1,22,Wisconsin,Montana,2500.0787237096133,2138.187980638182
1,23,Saint Mary's (CA),Vanderbilt,2535.6145980905594,2119.6304574470905
1,24,Alabama,Robert Morris,2582.1504572834065,2223.0570242339195
1,25,Houston,Southern Illinois-Edwardsville,2876.6630971397894,1898.0097157478
1,26,Gonzaga,Georgia,2628.290142805913,2365.5485903951026
1,27,Clemson,McNeese State,2498.8287454089077,2202.5441664380082
1,28,Purdue,High Point,2277.982086804469,2240.4531447332643
1,29,Illinois,Xavier,2475.22147351935,2413.878843787755
1,30,Kentucky,Troy,2395.2089406654195,2151.90292118951
1,31,UCLA,Utah State,2314.0179112703445,2274.038435423353
1,32,Tennessee,Wofford,2644.7780862903846,2077.562612527108
2,1,Auburn,Louisville,2581.924299131577,2494.8376765105536
2,2,Michigan,Texas A&M,2549.8613017043526,2375.2725577921283
2,3,Mississippi,Iowa State,2361.0672179566855,2457.372421330487
2,4,New Mexico,Michigan State,2412.043486738353,2715.938778431043
2,5,Florida,Connecticut,2865.137826349515,2426.0852933581273
2,6,Colorado State,Maryland,2639.4520853747076,2669.831371584655
2,7,Drake,Texas Tech,2486.521007760274,2464.96894631288
2,8,Arkansas,St. John's (NY),2347.8766572748646,2750.731742130829
2,9,Duke,Baylor,2726.7956254906844,2349.8540852466062
2,10,Oregon,Arizona,2501.2433638199163,2499.16059085487
2,11,Brigham Young,Wisconsin,2577.943148059492,2500.0787237096133
2,12,Saint Mary's (CA),Alabama,2535.6145980905594,2582.1504572834065
2,13,Houston,Gonzaga,2876.6630971397894,2628.290142805913
2,14,Clemson,Purdue,2498.8287454089077,2277.982086804469
2,15,Illinois,Kentucky,2475.22147351935,2395.2089406654195
2,16,UCLA,Tennessee,2314.0179112703445,2644.7780862903846
3,1,Auburn,Michigan,2581.924299131577,2549.8613017043526
3,2,Iowa State,Michigan State,2457.372421330487,2715.938778431043
3,3,Florida,Maryland,2865.137826349515,2669.831371584655
3,4,Drake,St. John's (NY),2486.521007760274,2750.731742130829
3,5,Duke,Oregon,2726.7956254906844,2501.2433638199163
3,6,Brigham Young,Alabama,2577.943148059492,2582.1504572834065
3,7,Houston,Clemson,2876.6630971397894,2498.8287454089077
3,8,Illinois,Tennessee,2475.22147351935,2644.7780862903846
4,1,Auburn,Michigan State,2581.924299131577,2715.938778431043
4,2,Florida,St. John's (NY),2865.137826349515,2750.731742130829
4,3,Duke,Alabama,2726.7956254906844,2582.1504572834065
4,4,Houston,Tennessee,2876.6630971397894,2644.7780862903846
5,1,Michigan State,Florida,2715.938778431043,2865.137826349515
5,2,Duke,Houston,2726.7956254906844,2876.6630971397894
6,1,Florida,Houston,2865.137826349515,2876.6630971397894
7,1,Houston,No Value,2876.6630971397894,No Value
