Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Duke,Siena,1,16,0.968,0.03200000000000003
Round of 64,1,2,Ohio State,Texas Christian,8,9,0.786,0.21399999999999997
Round of 64,1,3,St. John's (NY),Northern Iowa,5,12,0.71,0.29000000000000004
Round of 64,1,4,Kansas,California Baptist,4,13,0.848,0.15200000000000002
Round of 64,1,5,Louisville,South Florida,6,11,0.708,0.29200000000000004
Round of 64,1,6,Michigan State,North Dakota State,3,14,0.872,0.128
Round of 64,1,7,UCLA,UCF,7,10,0.614,0.386
Round of 64,1,8,Connecticut,Furman,2,15,0.922,0.07799999999999996
Round of 64,1,9,Florida,Prairie View A&M,1,16,0.908,0.09199999999999997
Round of 64,1,10,Clemson,Iowa,8,9,0.534,0.46599999999999997
Round of 64,1,11,Vanderbilt,McNeese,5,12,0.822,0.17800000000000005
Round of 64,1,12,Nebraska,Troy,4,13,0.682,0.31799999999999995
Round of 64,1,13,North Carolina,Virginia Commonwealth,6,11,0.8278323353293413,0.1721676646706587
Round of 64,1,14,Illinois,Pennsylvania,3,14,0.888,0.11199999999999999
Round of 64,1,15,Saint Mary's,Texas A&M,7,10,0.644,0.356
Round of 64,1,16,Houston,Idaho,2,15,0.856,0.14400000000000002
Round of 64,1,17,Arizona,Long Island University,1,16,0.982,0.018000000000000016
Round of 64,1,18,Villanova,Utah State,8,9,0.53,0.47
Round of 64,1,19,Wisconsin,High Point,5,12,0.72,0.28
Round of 64,1,20,Arkansas,Hawaii,4,13,0.768,0.23199999999999998
Round of 64,1,21,Brigham Young,Texas,6,11,0.752,0.248
Round of 64,1,22,Gonzaga,Kennesaw State,3,14,0.93,0.06999999999999995
Round of 64,1,23,Miami (FL),Missouri,7,10,0.774,0.22599999999999998
Round of 64,1,24,Purdue,Queens (NC),2,15,0.94,0.06000000000000005
Round of 64,1,25,Michigan,Howard,1,16,0.936,0.06399999999999995
Round of 64,1,26,Georgia,Saint Louis,8,9,0.562,0.43799999999999994
Round of 64,1,27,Texas Tech,Akron,5,12,0.656,0.344
Round of 64,1,28,Alabama,Hofstra,4,13,0.8,0.19999999999999996
Round of 64,1,29,Tennessee,Miami (OH),6,11,0.672,0.32799999999999996
Round of 64,1,30,Virginia,Wright State,3,14,0.892,0.10799999999999998
Round of 64,1,31,Kentucky,Santa Clara,7,10,0.74,0.26
Round of 64,1,32,Iowa State,Tennessee State,2,15,0.944,0.05600000000000005
Round of 32,2,1,Duke,Ohio State,1,8,0.968,0.786
Round of 32,2,2,St. John's (NY),Kansas,5,4,0.71,0.848
Round of 32,2,3,Louisville,Michigan State,6,3,0.708,0.872
Round of 32,2,4,UCLA,Connecticut,7,2,0.614,0.922
Round of 32,2,5,Florida,Clemson,1,8,0.908,0.534
Round of 32,2,6,Vanderbilt,Nebraska,5,4,0.822,0.682
Round of 32,2,7,North Carolina,Illinois,6,3,0.8278323353293413,0.888
Round of 32,2,8,Saint Mary's,Houston,7,2,0.644,0.856
Round of 32,2,9,Arizona,Villanova,1,8,0.982,0.53
Round of 32,2,10,Wisconsin,Arkansas,5,4,0.72,0.768
Round of 32,2,11,Brigham Young,Gonzaga,6,3,0.752,0.93
Round of 32,2,12,Miami (FL),Purdue,7,2,0.774,0.94
Round of 32,2,13,Michigan,Georgia,1,8,0.936,0.562
Round of 32,2,14,Texas Tech,Alabama,5,4,0.656,0.8
Round of 32,2,15,Tennessee,Virginia,6,3,0.672,0.892
Round of 32,2,16,Kentucky,Iowa State,7,2,0.74,0.944
Sweet 16,3,1,Duke,Kansas,1,4,0.968,0.848
Sweet 16,3,2,Michigan State,Connecticut,3,2,0.872,0.922
Sweet 16,3,3,Florida,Vanderbilt,1,5,0.908,0.822
Sweet 16,3,4,Illinois,Houston,3,2,0.888,0.856
Sweet 16,3,5,Arizona,Arkansas,1,4,0.982,0.768
Sweet 16,3,6,Gonzaga,Purdue,3,2,0.93,0.94
Sweet 16,3,7,Michigan,Alabama,1,4,0.936,0.8
Sweet 16,3,8,Virginia,Iowa State,3,2,0.892,0.944
Elite 8,4,1,Duke,Connecticut,1,2,0.968,0.922
Elite 8,4,2,Florida,Illinois,1,3,0.908,0.888
Elite 8,4,3,Arizona,Purdue,1,2,0.982,0.94
Elite 8,4,4,Michigan,Iowa State,1,2,0.936,0.944
Final 4,5,1,Duke,Florida,1,1,0.968,0.908
Final 4,5,2,Arizona,Iowa State,1,2,0.982,0.944
Championship,6,1,Duke,Arizona,1,1,0.968,0.982
Champion,7,1,Arizona,---,1,---,0.982,---
