Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Florida,Prairie View A&M,1,16,22.83,-10.98
Round of 64,1,2,Clemson,Iowa,8,9,31.55,19.06
Round of 64,1,3,Vanderbilt,McNeese,5,12,22.43,4.06
Round of 64,1,4,Nebraska,Troy,4,13,25.64,-6.48
Round of 64,1,5,North Carolina,Virginia Commonwealth,6,11,16.99,8.85
Round of 64,1,6,Illinois,Pennsylvania,3,14,19.52,6.13
Round of 64,1,7,Saint Mary's,Texas A&M,7,10,15.88,15.02
Round of 64,1,8,Houston,Idaho,2,15,29.92,-2.33
Round of 64,1,9,Arizona,Long Island University,1,16,26.23,-9.86
Round of 64,1,10,Villanova,Utah State,8,9,9.22,13.62
Round of 64,1,11,Wisconsin,High Point,5,12,32.48,-0.64
Round of 64,1,12,Arkansas,Hawaii,4,13,22.83,3.65
Round of 64,1,13,Brigham Young,Texas,6,11,26.23,11.13
Round of 64,1,14,Gonzaga,Kennesaw State,3,14,15.88,-2.92
Round of 64,1,15,Miami (FL),Missouri,7,10,21.6,19.8
Round of 64,1,16,Purdue,Queens (NC),2,15,32.48,-1.34
Round of 64,1,17,Duke,Siena,1,16,21.6,-4.27
Round of 64,1,18,Ohio State,TCU,8,9,32.48,-999
Round of 64,1,19,St. John's (NY),Northern Iowa,5,12,22.92,3.81
Round of 64,1,20,Kansas,California Baptist,4,13,26.23,5.36
Round of 64,1,21,Louisville,South Florida,6,11,18.04,8.72
Round of 64,1,22,Michigan State,North Dakota State,3,14,18.28,-8.93
Round of 64,1,23,UCLA,UCF,7,10,25.64,29.92
Round of 64,1,24,Connecticut,Furman,2,15,22.42,-0.64
Round of 64,1,25,Michigan,Howard,1,16,25.64,-18.15
Round of 64,1,26,Georgia,Saint Louis,8,9,11.13,8.85
Round of 64,1,27,Texas Tech,Akron,5,12,27.15,0.78
Round of 64,1,28,Alabama,Hofstra,4,13,11.13,-2.11
Round of 64,1,29,Tennessee,Miami (OH),6,11,22.83,-2.14
Round of 64,1,30,Virginia,Wright State,3,14,31.55,-5.62
Round of 64,1,31,Kentucky,Santa Clara,7,10,27.9,25.11
Round of 64,1,32,Iowa State,Tennessee State,2,15,29.92,-11.13
Round of 32,2,1,Florida,Clemson,1,8,22.83,31.55
Round of 32,2,2,Vanderbilt,Nebraska,5,4,22.43,25.64
Round of 32,2,3,North Carolina,Illinois,6,3,16.99,19.52
Round of 32,2,4,Saint Mary's,Houston,7,2,15.88,29.92
Round of 32,2,5,Arizona,Utah State,1,9,26.23,13.62
Round of 32,2,6,Wisconsin,Arkansas,5,4,32.48,22.83
Round of 32,2,7,Brigham Young,Gonzaga,6,3,26.23,15.88
Round of 32,2,8,Miami (FL),Purdue,7,2,21.6,32.48
Round of 32,2,9,Duke,Ohio State,1,8,21.6,32.48
Round of 32,2,10,St. John's (NY),Kansas,5,4,22.92,26.23
Round of 32,2,11,Louisville,Michigan State,6,3,18.04,18.28
Round of 32,2,12,UCF,Connecticut,10,2,29.92,22.42
Round of 32,2,13,Michigan,Georgia,1,8,25.64,11.13
Round of 32,2,14,Texas Tech,Alabama,5,4,27.15,11.13
Round of 32,2,15,Tennessee,Virginia,6,3,22.83,31.55
Round of 32,2,16,Kentucky,Iowa State,7,2,27.9,29.92
Sweet 16,3,1,Clemson,Nebraska,8,4,31.55,25.64
Sweet 16,3,2,Illinois,Houston,3,2,19.52,29.92
Sweet 16,3,3,Arizona,Wisconsin,1,5,26.23,32.48
Sweet 16,3,4,Brigham Young,Purdue,6,2,26.23,32.48
Sweet 16,3,5,Ohio State,Kansas,8,4,32.48,26.23
Sweet 16,3,6,Michigan State,UCF,3,10,18.28,29.92
Sweet 16,3,7,Michigan,Texas Tech,1,5,25.64,27.15
Sweet 16,3,8,Virginia,Iowa State,3,2,31.55,29.92
Elite 8,4,1,Clemson,Houston,8,2,31.55,29.92
Elite 8,4,2,Wisconsin,Purdue,5,2,32.48,32.48
Elite 8,4,3,Ohio State,UCF,8,10,32.48,29.92
Elite 8,4,4,Texas Tech,Virginia,5,3,27.15,31.55
Final 4,5,1,Clemson,Wisconsin,8,5,31.55,32.48
Final 4,5,2,Ohio State,Virginia,8,3,32.48,31.55
Championship,6,1,Wisconsin,Ohio State,5,8,32.48,32.48
Champion,7,1,Wisconsin,---,5,---,32.48,---
